Country,Clicks,Impressions,CTR,Position
United States,593,660143,0.09%,28.28
India,12,6963,0.17%,36.44
United Kingdom,4,11054,0.04%,33.15
Philippines,4,1807,0.22%,30.57
Germany,3,4050,0.07%,32.04
Iran,3,419,0.72%,29.5
Russia,1,9302,0.01%,34.02
Canada,1,3586,0.03%,30.54
Mexico,1,2464,0.04%,33.76
Turkey,1,1682,0.06%,33.79
Pakistan,1,1309,0.08%,30.44
Bangladesh,1,1185,0.08%,33.32
Colombia,1,1027,0.1%,32.83
Morocco,1,872,0.11%,33.75
Peru,1,488,0.2%,31.16
Nigeria,1,172,0.58%,30.06
Brazil,0,28506,0%,33.67
Italy,0,19506,0%,30.46
South Korea,0,8086,0%,31.24
Vietnam,0,4850,0%,25.77
France,0,4364,0%,30.47
Lithuania,0,4144,0%,32.01
Argentina,0,2436,0%,30.92
Indonesia,0,2010,0%,31.87
Spain,0,1618,0%,32.88
Bosnia & Herzegovina,0,1540,0%,5.59
Malaysia,0,1521,0%,33.13
Ireland,0,1481,0%,32.26
Taiwan,0,1448,0%,31.59
Ecuador,0,1429,0%,32.22
Ukraine,0,1416,0%,31.76
South Africa,0,1221,0%,32.79
Netherlands,0,1156,0%,34.72
Egypt,0,1151,0%,31.74
Japan,0,1138,0%,28.2
Australia,0,1119,0%,31.35
Saudi Arabia,0,932,0%,35.57
Poland,0,878,0%,33.3
Latvia,0,868,0%,32.55
Iraq,0,857,0%,33.79
Venezuela,0,832,0%,32.61
Unknown Region,0,579,0%,34.63
Chile,0,519,0%,31.47
Uzbekistan,0,510,0%,35.04
Dominican Republic,0,502,0%,32.82
Singapore,0,487,0%,29.66
Algeria,0,477,0%,31.19
Tunisia,0,470,0%,35.24
Trinidad & Tobago,0,449,0%,33.74
Sweden,0,444,0%,30.38
Bulgaria,0,435,0%,34.2
Paraguay,0,434,0%,34.66
Switzerland,0,432,0%,28
Thailand,0,427,0%,33.51
Kazakhstan,0,422,0%,33.43
Jordan,0,417,0%,37.41
United Arab Emirates,0,412,0%,29.83
Romania,0,390,0%,31.46
Jamaica,0,371,0%,34.07
Nepal,0,328,0%,35.67
Kenya,0,318,0%,32.56
Israel,0,297,0%,33.68
Portugal,0,285,0%,34.15
Belarus,0,274,0%,35.27
Greece,0,269,0%,34.36
Uruguay,0,268,0%,35.37
Barbados,0,255,0%,37.05
Czechia,0,248,0%,28.71
Serbia,0,236,0%,31.19
Cyprus,0,229,0%,33.56
Belgium,0,207,0%,28.86
Hungary,0,206,0%,30.56
Hong Kong,0,201,0%,28.23
Austria,0,194,0%,35.32
Finland,0,191,0%,27.84
Norway,0,169,0%,31.28
Bolivia,0,169,0%,32.59
Costa Rica,0,169,0%,32.85
Honduras,0,160,0%,29.48
Panama,0,157,0%,32.55
Azerbaijan,0,156,0%,35.55
Moldova,0,151,0%,28.34
Georgia,0,151,0%,34.62
Senegal,0,146,0%,31.48
Albania,0,145,0%,33.39
Bahamas,0,141,0%,34.67
Ethiopia,0,132,0%,28.58
Kuwait,0,128,0%,32.88
Guatemala,0,126,0%,29.81
Oman,0,125,0%,32.61
Palestine,0,125,0%,36.99
Denmark,0,118,0%,27.26
Lebanon,0,118,0%,32.49
Guyana,0,115,0%,35.15
Puerto Rico,0,109,0%,36.14
New Zealand,0,106,0%,34.65
Bahrain,0,104,0%,35.47
Syria,0,103,0%,38.39
El Salvador,0,101,0%,29.18
Slovakia,0,101,0%,32.77
Armenia,0,95,0%,34.39
Côte d’Ivoire,0,92,0%,26.57
Myanmar (Burma),0,87,0%,37.38
Qatar,0,85,0%,35.36
Croatia,0,81,0%,35.73
Macedonia,0,80,0%,35.15
Kyrgyzstan,0,78,0%,34.06
Angola,0,75,0%,32
Nicaragua,0,74,0%,38.65
Slovenia,0,73,0%,29.01
Ghana,0,72,0%,29.58
Suriname,0,70,0%,33.11
Cambodia,0,69,0%,34.16
Sri Lanka,0,67,0%,40.7
Belize,0,59,0%,37.1
St. Lucia,0,50,0%,38.08
Estonia,0,49,0%,32
Libya,0,45,0%,31.93
Grenada,0,44,0%,30.48
Mauritius,0,41,0%,26.07
Mongolia,0,41,0%,26.68
China,0,37,0%,22.49
Gabon,0,37,0%,31.24
Bermuda,0,37,0%,38.03
Seychelles,0,35,0%,37.49
Cayman Islands,0,34,0%,36.53
Congo - Brazzaville,0,32,0%,38.12
St. Kitts & Nevis,0,31,0%,40
Togo,0,30,0%,29.13
Tanzania,0,30,0%,33.77
Burkina Faso,0,30,0%,34
Botswana,0,29,0%,27.24
Cape Verde,0,29,0%,36.45
Malta,0,28,0%,35.93
Uganda,0,27,0%,32.96
Luxembourg,0,25,0%,28.76
Laos,0,25,0%,37.16
St. Vincent & Grenadines,0,24,0%,26.5
Zimbabwe,0,23,0%,34.17
Brunei,0,23,0%,38.13
Montenegro,0,22,0%,27.05
Curaçao,0,22,0%,39.09
Sint Maarten,0,19,0%,21.89
Iceland,0,19,0%,30.21
Somalia,0,18,0%,28.11
Andorra,0,18,0%,39.06
Yemen,0,17,0%,32.88
Maldives,0,16,0%,19.69
Congo - Kinshasa,0,16,0%,33.94
Cameroon,0,15,0%,25.07
Réunion,0,15,0%,32.93
Antigua & Barbuda,0,14,0%,24.71
Tajikistan,0,14,0%,32.14
Rwanda,0,14,0%,42.79
Zambia,0,13,0%,20.54
Benin,0,12,0%,18.25
Mali,0,12,0%,29.25
Kosovo,0,12,0%,36.67
Isle of Man,0,12,0%,52.33
Guernsey,0,12,0%,53.33
Jersey,0,11,0%,29.55
Mauritania,0,11,0%,30.09
British Virgin Islands,0,11,0%,32.73
Aruba,0,11,0%,38.36
Mozambique,0,10,0%,33.8
Madagascar,0,10,0%,44.2
Turks & Caicos Islands,0,10,0%,44.8
Fiji,0,9,0%,19.56
Macau,0,8,0%,18.25
Guinea,0,8,0%,38.25
Gambia,0,8,0%,40.62
Malawi,0,8,0%,47.5
Western Sahara,0,8,0%,55.75
Cuba,0,7,0%,12.57
Haiti,0,7,0%,30.14
Dominica,0,7,0%,32.14
Namibia,0,7,0%,33.14
Gibraltar,0,7,0%,40.57
Turkmenistan,0,6,0%,21.5
Guam,0,6,0%,26.67
Martinique,0,4,0%,18.5
Lesotho,0,4,0%,20.5
Guadeloupe,0,4,0%,22
Anguilla,0,4,0%,23
French Guiana,0,4,0%,29.25
U.S. Virgin Islands,0,4,0%,32.25
Sierra Leone,0,4,0%,38.5
American Samoa,0,3,0%,3.33
Afghanistan,0,3,0%,19.67
Bhutan,0,3,0%,25.33
Comoros,0,3,0%,39.33
Liberia,0,3,0%,49.67
Timor-Leste,0,2,0%,10.5
Mayotte,0,2,0%,11.5
French Polynesia,0,2,0%,11.5
Niger,0,2,0%,16
New Caledonia,0,2,0%,21
Micronesia,0,2,0%,22.5
San Marino,0,2,0%,36
São Tomé & Príncipe,0,2,0%,36.5
Tonga,0,2,0%,36.5
South Sudan,0,2,0%,48
Faroe Islands,0,1,0%,1
Sudan,0,1,0%,3
Chad,0,1,0%,4
Papua New Guinea,0,1,0%,5
Burundi,0,1,0%,15
Samoa,0,1,0%,25
Equatorial Guinea,0,1,0%,27
Liechtenstein,0,1,0%,41
Guinea-Bissau,0,1,0%,42
Swaziland,0,1,0%,44
Northern Mariana Islands,0,1,0%,51
Palau,0,1,0%,52
Djibouti,0,1,0%,55
Montserrat,0,1,0%,66
Caribbean Netherlands,0,1,0%,73
