Date,Clicks,Impressions,CTR,Position
2025-02-17,0,62,0%,27.7
2025-02-18,0,71,0%,29.9
2025-02-19,0,58,0%,26.7
2025-02-20,0,67,0%,26.8
2025-02-21,0,65,0%,26.7
2025-02-22,0,75,0%,28
2025-02-23,0,73,0%,22.6
2025-02-24,0,56,0%,17.4
2025-02-25,0,45,0%,18.6
2025-02-26,0,69,0%,14.4
2025-02-27,0,72,0%,11.8
2025-02-28,0,70,0%,12.3
2025-03-01,0,67,0%,11.1
2025-03-02,0,88,0%,10.2
2025-03-03,0,69,0%,12.5
2025-03-04,0,47,0%,21.2
2025-03-05,0,83,0%,27.8
2025-03-06,0,69,0%,28
2025-03-07,0,62,0%,29.6
2025-03-08,0,73,0%,29.3
2025-03-09,0,69,0%,27.7
2025-03-10,0,81,0%,32
2025-03-11,0,63,0%,28.1
2025-03-12,0,65,0%,32.2
2025-03-13,0,63,0%,34.5
2025-03-14,0,64,0%,33.4
2025-03-15,0,41,0%,18.4
2025-03-16,0,50,0%,16.9
2025-03-17,0,40,0%,17.4
2025-03-18,0,139,0%,22.7
2025-03-19,0,38,0%,21.9
2025-03-20,0,41,0%,17.2
2025-03-21,0,37,0%,20.9
2025-03-22,0,41,0%,16.9
2025-03-23,1,50,2%,12.1
2025-03-24,0,43,0%,20.7
2025-03-25,0,42,0%,20.3
2025-03-26,0,54,0%,23.9
2025-03-27,0,51,0%,29.9
2025-03-28,0,50,0%,24.4
2025-03-29,0,49,0%,23.8
2025-03-30,0,78,0%,20.1
2025-03-31,0,67,0%,19
2025-04-01,0,72,0%,17
2025-04-02,0,55,0%,16.5
2025-04-03,0,60,0%,14.4
2025-04-04,0,65,0%,14.8
2025-04-05,0,80,0%,18.8
2025-04-06,0,71,0%,15.9
2025-04-07,0,79,0%,14.3
2025-04-08,0,62,0%,17.4
2025-04-09,0,64,0%,18
2025-04-10,0,64,0%,19.3
2025-04-11,0,87,0%,17
2025-04-12,0,68,0%,20.7
