Top pages,Clicks,Impressions,CTR,Position
https://www.flooddoctorva.com/,2,7994,0.03%,26.75
https://reston.flooddoctorva.com/,1,768,0.13%,22.4
https://greatfalls.flooddoctorva.com/,1,639,0.16%,25.36
https://mclean.flooddoctorva.com/,0,8141,0%,40.55
https://fairfax.flooddoctorva.com/,0,5995,0%,23.75
https://arlington.flooddoctorva.com/,0,3503,0%,47.51
https://alexandria.flooddoctorva.com/,0,2950,0%,21.61
https://ashburn.flooddoctorva.com/,0,1892,0%,24.85
https://fallschurch.flooddoctorva.com/,0,1688,0%,33.56
https://lorton.flooddoctorva.com/,0,756,0%,17.37
https://springfield.flooddoctorva.com/,0,741,0%,25.49
https://herndon.flooddoctorva.com/,0,313,0%,17.92
https://www.flooddoctorva.com/water-damage-cleanup/,0,135,0%,52.61
https://tysons.flooddoctorva.com/,0,39,0%,52.67
https://www.flooddoctorva.com/submit-a-claim/,0,37,0%,12.59
https://www.flooddoctorva.com/#services,0,33,0%,10.85
https://www.flooddoctorva.com/about/,0,33,0%,10.85
https://www.flooddoctorva.com/contact/,0,33,0%,10.85
https://fairfax.flooddoctorva.com/#about,0,12,0%,11
https://fairfax.flooddoctorva.com/#awards,0,12,0%,11
https://fairfax.flooddoctorva.com/#clients,0,12,0%,11
https://fairfax.flooddoctorva.com/#contact,0,12,0%,11
https://fairfax.flooddoctorva.com/#services,0,12,0%,11
https://mclean.flooddoctorva.com/water-damage-cleanup/,0,10,0%,23.6
